ID;COTIS
300001;319
300002;223
300003;273
300004;339
300005;301
300006;374
300007;430
300008;201
300009;563
300010;510
300011;274
300012;358
300013;253
300014;223
300015;356
300016;190
300017;261
300018;496
300019;303
300020;469
300021;234
300022;399
300023;413
300024;354
300025;309
300026;257
300027;296
300028;411
300029;268
300030;243
300031;418
300032;434
300033;257
300034;420
300035;361
300036;312
300037;171
300038;306
300039;224
300040;214
300041;336
300042;506
300043;280
300044;450
300045;261
300046;302
300047;291
300048;246
300049;374
300050;260
300051;299
300052;275
300053;307
300054;338
300055;296
300056;370
300057;309
300058;374
300059;299
300060;263
300061;380
300062;216
300063;204
300064;307
300065;309
300066;226
300067;430
300068;415
300069;395
300070;288
300071;237
300072;333
300073;286
300074;485
300075;368
300076;328
300077;328
300078;351
300079;295
300080;240
300081;210
300082;298
300083;281
300084;318
300085;227
300086;242
300087;315
300088;311
300089;365
300090;259
300091;375
300092;251
300093;193
300094;378
300095;225
300096;402
300097;237
300098;559
300099;393
300100;284
300101;292
300102;270
300103;574
300104;296
300105;278
300106;301
300107;321
300108;287
300109;263
300110;563
300111;461
300112;315
300113;331
300114;340
300115;390
300116;284
300117;268
300118;577
300119;247
300120;244
300121;246
300122;465
300123;249
300124;476
300125;267
300126;313
300127;411
300128;285
300129;202
300130;291
300131;270
300132;282
300133;190
300134;327
300135;289
300136;234
300137;201
300138;280
300139;275
300140;301
300141;484
300142;270
300143;280
300144;306
300145;291
300146;403
300147;214
300148;385
300149;401
300150;188
300151;410
300152;327
300153;388
300154;317
300155;316
300156;308
300157;367
300158;192
300159;315
300160;214
300161;309
300162;288
300163;303
300164;364
300165;390
300166;240
300167;264
300168;289
300169;284
300170;216
300171;274
300172;306
300173;343
300174;190
300175;301
300176;427
300177;512
300178;304
300179;177
300180;242
300181;272
300182;263
300183;235
300184;180
300185;281
300186;237
300187;188
300188;277
300189;382
300190;235
300191;334
300192;413
300193;338
300194;304
300195;257
300196;345
300197;375
300198;213
300199;222
300200;476
300201;480
300202;355
300203;332
300204;273
300205;274
300206;263
300207;375
300208;186
300209;253
300210;188
300211;185
300212;220
300213;442
300214;455
300215;198
300216;240
300217;253
300218;263
300219;347
300220;286
300221;465
300222;443
300223;251
300224;273
300225;307
300226;180
300227;288
300228;272
300229;324
300230;290
300231;394
300232;306
300233;342
300234;306
300235;295
300236;260
300237;352
300238;618
300239;247
300240;306
300241;262
300242;252
300243;260
300244;404
300245;255
300246;630
300247;280
300248;298
300249;291
300250;342
300251;289
300252;254
300253;209
300254;306
300255;318
300256;298
300257;339
300258;368
300259;324
300260;262
300261;221
300262;221
300263;321
300264;270
300265;299
300266;253
300267;375
300268;291
300269;467
300270;291
300271;463
300272;243
300273;410
300274;280
300275;289
300276;361
300277;382
300278;354
300279;317
300280;344
300281;349
300282;289
300283;325
300284;311
300285;289
300286;396
300287;341
300288;269
300289;348
300290;285
300291;381
300292;288
300293;393
300294;437
300295;346
300296;385
300297;361
300298;232
300299;382
300300;406
300301;485
300302;526
300303;337
300304;362
300305;511
300306;538
300307;331
300308;259
300309;313
300310;394
300311;370
300312;352
300313;429
300314;322
300315;322
300316;318
300317;358
300318;272
300319;480
300320;397
300321;351
300322;364
300323;462
300324;341
300325;376
300326;185
300327;306
300328;345
300329;277
300330;242
300331;314
300332;495
300333;432
300334;563
300335;279
300336;665
300337;549
300338;321
300339;282
300340;383
300341;331
300342;261
300343;228
300344;496
300345;384
300346;208
300347;358
300348;230
300349;267
300350;343
300351;215
300352;411
300353;399
300354;244
300355;309
300356;280
300357;246
300358;316
300359;243
300360;378
300361;312
300362;280
300363;252
300364;252
300365;419
300366;468
300367;281
300368;229
300369;400
300370;419
300371;397
300372;441
300373;312
300374;287
300375;360
300376;331
300377;473
300378;279
300379;243
300380;243
300381;411
300382;486
300383;207
300384;209
300385;300
