ID;COTIS
300001;326
300002;224
300003;274
300004;346
300005;298
300006;386
300007;422
300008;199
300009;539
300010;499
300011;271
300012;352
300013;251
300014;222
300015;356
300016;194
300017;263
300018;488
300019;301
300020;465
300021;229
300022;399
300023;409
300024;355
300025;308
300026;244
300027;294
300028;401
300029;265
300030;241
300031;414
300032;441
300033;255
300034;411
300035;358
300036;312
300037;169
300038;319
300039;224
300040;211
300041;333
300042;492
300043;280
300044;449
300045;263
300046;302
300047;283
300048;248
300049;385
300050;256
300051;305
300052;276
300053;307
300054;338
300055;298
300056;359
300057;313
300058;377
300059;302
300060;263
300061;375
300062;218
300063;191
300064;304
300065;313
300066;220
300067;438
300068;422
300069;401
300070;295
300071;235
300072;335
300073;281
300074;470
300075;364
300076;322
300077;328
300078;352
300079;294
300080;241
300081;210
300082;296
300083;281
300084;319
300085;229
300086;238
300087;314
300088;311
300089;356
300090;252
300091;381
300092;253
300093;190
300094;377
300095;228
300096;411
300097;235
300098;557
300099;379
300100;286
300101;291
300102;266
300103;565
300104;297
300105;269
300106;296
300107;325
300108;287
300109;266
300110;550
300111;458
300112;314
300113;332
300114;338
300115;397
300116;277
300117;270
300118;589
300119;247
300120;242
300121;248
300122;460
300123;249
300124;469
300125;259
300126;320
300127;407
300128;285
300129;197
300130;291
300131;273
300132;290
300133;191
300134;325
300135;295
300136;231
300137;205
300138;277
300139;279
300140;302
300141;483
300142;273
300143;277
300144;299
300145;299
300146;403
300147;211
300148;383
300149;406
300150;190
300151;408
300152;324
300153;388
300154;310
300155;316
300156;302
300157;363
300158;186
300159;325
300160;218
300161;310
300162;285
300163;309
300164;375
300165;380
300166;241
300167;257
300168;292
300169;288
300170;210
300171;275
300172;318
300173;348
300174;194
300175;300
300176;425
300177;512
300178;303
300179;181
300180;240
300181;267
300182;262
300183;235
300184;182
300185;276
300186;238
300187;179
300188;278
300189;379
300190;235
300191;326
300192;408
300193;334
300194;304
300195;259
300196;325
300197;375
300198;216
300199;225
300200;487
300201;476
300202;361
300203;340
300204;272
300205;276
300206;263
300207;379
300208;188
300209;252
300210;188
300211;189
300212;221
300213;447
300214;445
300215;187
300216;235
300217;241
300218;264
300219;340
300220;286
300221;462
300222;441
300223;250
300224;274
300225;301
300226;179
300227;287
300228;270
300229;318
300230;292
300231;391
300232;312
300233;340
300234;306
300235;293
300236;262
300237;349
300238;603
300239;248
300240;306
300241;253
300242;252
300243;257
300244;405
300245;250
300246;631
300247;285
300248;296
300249;295
300250;348
300251;282
300252;256
300253;208
300254;307
300255;317
300256;295
300257;346
300258;368
300259;321
300260;263
300261;221
300262;221
300263;319
300264;268
300265;303
300266;249
300267;379
300268;290
300269;468
300270;292
300271;477
300272;240
300273;413
300274;279
300275;288
300276;370
300277;381
300278;354
300279;315
300280;344
300281;340
300282;288
300283;328
300284;314
300285;286
300286;402
300287;339
300288;265
300289;336
300290;276
300291;380
300292;286
300293;390
300294;462
300295;340
300296;384
300297;357
300298;235
300299;382
300300;407
300301;485
300302;534
300303;337
300304;376
300305;516
300306;533
300307;334
300308;253
300309;318
300310;398
300311;376
300312;360
300313;415
300314;319
300315;319
300316;316
300317;353
300318;271
300319;479
300320;403
300321;355
300322;361
300323;439
300324;345
300325;377
300326;181
300327;308
300328;337
300329;272
300330;240
300331;304
300332;493
300333;437
300334;583
300335;279
300336;656
300337;543
300338;319
300339;281
300340;379
300341;337
300342;260
300343;225
300344;492
300345;383
300346;208
300347;366
300348;234
300349;267
300350;343
300351;216
300352;408
300353;395
300354;241
300355;308
300356;278
300357;242
300358;311
300359;243
300360;378
300361;313
300362;278
300363;256
300364;256
300365;412
300366;471
300367;271
300368;227
300369;407
300370;419
300371;400
300372;440
300373;308
300374;281
300375;348
300376;334
300377;475
300378;278
300379;238
300380;245
300381;418
300382;495
300383;203
300384;208
300385;305
300386;350
300387;257
300388;285
300389;251
300390;274
300391;298
300392;351
300393;397
300394;374
300395;286
300396;260
300397;348
300398;407
300399;351
300400;383
300401;391
300402;289
300403;248
300404;321
300405;264
300406;743
300407;451
300408;422
300409;286
300410;322
300411;286
300412;441
300413;271
300414;246
300415;387
300416;379
300417;308
300418;278
300419;417
300420;319
300421;345
300422;381
300423;405
300424;359
300425;295
300426;288
300427;317
300428;549
300429;449
300430;390
300431;485
300432;246
300433;364
300434;316
300435;236
300436;298
300437;444
300438;452
300439;417
300440;229
300441;265
300442;209
300443;340
300444;340
300445;320
300446;385
300447;394
300448;221
300449;302
300450;309
300451;358
300452;464
300453;343
300454;433
300455;369
300456;218
300457;320
300458;313
300459;367
300460;279
300461;229
300462;229
300463;322
300464;263
300465;223
300466;358
300467;277
300468;293
300469;561
300470;278
300471;296
300472;306
300473;342
300474;300
300475;257
300476;358
300477;288
300478;240
300479;283
300480;326
300481;269
300482;320
300483;369
300484;231
300485;287
300486;212
300487;475
300488;393
300489;299
300490;228
300491;283
300492;340
300493;425
300494;228
300495;561
300496;360
300497;326
300498;296
300499;279
300500;243
300501;293
300502;320
300503;351
300504;250
300505;370
300506;321
300507;213
300508;308
300509;213
300510;331
300511;333
300512;236
300513;489
300514;298
300515;255
300516;264
300517;296
300518;308
300519;316
300520;295
300521;243
300522;289
300523;298
300524;268
300525;311
300526;351
300527;301
300528;300
300529;866
300530;530
300531;303
300532;568
300533;314
300534;279
300535;335
300536;306
300537;394
300538;269
300539;289
300540;253
300541;261
300542;352
300543;282
300544;486
300545;366
300546;474
300547;382
300548;397
300549;480
300550;263
300551;290
300552;283
300553;446
300554;414
300555;360
300556;508
300557;450
300558;509
300559;302
300560;514
300561;321
300562;477
300563;322
300564;465
300565;322
300566;415
300567;299
300568;520
300569;316
300570;408
300571;290
300572;481
300573;594
300574;275
300575;348
300576;417
300577;455
300578;480
300579;495
300580;458
300581;471
300582;463
300583;534
300584;292
300585;311
300586;259
300587;469
300588;276
300589;231
300590;229
300591;261
300592;296
300593;332
300594;506
300595;265
300596;255
300597;240
300598;343
300599;287
300600;306
300601;386
300602;306
300603;736
300604;317
300605;452
300606;498
300607;328
300608;367
300609;372
300610;292
300611;278
300612;334
300613;433
300614;555
300615;461
300616;279
300617;470
300618;273
300619;302
300620;460
300621;486
300622;507
300623;533
300624;297
300625;384
300626;403
300627;294
300628;440
300629;432
300630;401
300631;417
300632;463
300633;264
300634;280
300635;337
300636;436
300637;500
300638;546
300639;364
300640;412
300641;380
300642;272
300643;331
300644;491
300645;287
300646;304
300647;467
300648;280
300649;321
300650;286
300651;459
300652;623
300653;375
300654;463
300655;288
300656;348
300657;283
300658;310
300659;327
300660;262
300661;399
300662;578
300663;421
300664;318
300665;364
300666;465
300667;206
300668;389
300669;356
300670;513
300671;646
300672;524
300673;328
300674;463
300675;436
300676;284
300677;492
300678;497
300679;270
300680;294
300681;621
300682;252
300683;249
300684;524
300685;299
300686;234
300687;262
300688;484
300689;319
300690;234
300691;319
300692;293
300693;305
300694;429
300695;367
300696;611
300697;365
300698;309
300699;252
300700;546
300701;271
300702;264
300703;335
300704;297
300705;315
300706;286
300707;357
300708;338
300709;272
300710;190
300711;320
300712;277
300713;388
300714;307
300715;340
300716;508
300717;417
300718;191
300719;267
300720;418
300721;508
300722;342
300723;552
300724;457
300725;409
300726;383
300727;314
300728;371
300729;168
300730;249
300731;307
300732;400
300733;293
300734;300
300735;274
300736;300
300737;201
300738;244
300739;264
300740;292
300741;467
300742;417
300743;231
300744;375
300745;338
300746;300
300747;348
300748;466
300749;248
300750;289
300751;260
300752;246
300753;415
300754;328
300755;483
300756;322
300757;412
300758;278
300759;307
300760;373
300761;287
300762;252
300763;253
300764;507
300765;316
300766;434
300767;383
300768;358
300769;365
300770;451
300771;318
300772;214
300773;306
300774;408
300775;322
300776;276
300777;489
300778;535
300779;374
300780;306
300781;403
300782;305
300783;493
300784;335
300785;817
300786;317
300787;329
300788;346
300789;361
300790;529
300791;319
300792;332
300793;253
300794;318
300795;324
300796;558
300797;419
300798;336
300799;482
300800;247
300801;332
300802;278
300803;309
300804;397
300805;263
300806;420
300807;525
300808;305
300809;335
300810;304
300811;330
300812;325
300813;377
300814;338
300815;787
300816;538
300817;348
300818;389
300819;295
