ID;COTIS
300001;307
300002;216
300003;270
300004;319
300005;295
300006;365
300007;359
300008;169
300009;645
300010;433
300011;266
300012;405
300013;215
300014;211
300015;313
300016;215
300017;242
300018;443
300019;303
300020;398
300021;238
300022;421
300023;436
300024;308
300025;295
300026;225
300027;286
300028;338
300029;263
300030;223
300031;367
300032;398
300033;262
300034;363
300035;352
300036;275
300037;181
300038;263
300039;234
300040;218
300041;340
300042;457
300043;269
300044;396
300045;241
300046;289
300047;255
300048;212
300049;375
300050;235
300051;248
300052;274
300053;294
300054;318
300055;305
300056;421
300057;286
300058;404
300059;322
300060;281
300061;373
300062;180
300063;197
300064;266
300065;278
300066;220
300067;384
300068;399
300069;408
300070;287
300071;220
300072;307
300073;255
300074;448
300075;346
300076;329
300077;307
300078;330
300079;264
300080;260
300081;209
300082;271
300083;280
300084;321
300085;239
300086;215
300087;298
300088;299
300089;353
300090;249
300091;382
300092;229
300093;187
300094;364
300095;210
300096;352
300097;225
300098;514
300099;346
300100;277
300101;289
300102;250
300103;494
300104;275
300105;278
300106;293
300107;311
300108;258
300109;279
300110;494
300111;445
300112;298
300113;314
300114;317
300115;375
300116;284
300117;268
300118;531
300119;232
300120;227
300121;220
300122;467
300123;249
300124;428
300125;240
300126;280
300127;397
300128;279
300129;184
300130;284
300131;241
300132;246
300133;213
300134;308
300135;271
300136;232
300137;188
300138;280
300139;279
300140;282
300141;465
300142;268
300143;258
300144;315
300145;302
300146;369
300147;210
300148;355
300149;361
300150;180
300151;432
300152;316
300153;343
300154;314
300155;295
300156;283
300157;336
300158;206
300159;369
300160;197
300161;282
300162;230
300163;317
300164;353
300165;354
300166;228
300167;238
300168;294
300169;257
300170;217
300171;267
300172;303
300173;322
300174;213
300175;302
300176;444
300177;549
300178;301
300179;174
300180;221
300181;275
300182;254
300183;215
300184;181
300185;283
300186;268
300187;191
300188;289
300189;356
300190;216
300191;273
300192;399
300193;304
300194;317
300195;249
300196;321
300197;386
300198;239
300199;254
300200;453
300201;427
300202;366
300203;355
300204;292
300205;264
300206;276
300207;370
300208;200
300209;256
300210;191
300211;194
300212;207
300213;417
300214;414
300215;179
300216;238
300217;249
300218;283
300219;380
300220;285
300221;433
300222;398
300223;251
300224;274
300225;288
300226;182
300227;268
300228;266
300229;338
300230;294
300231;392
300232;287
300233;344
300234;289
300235;291
300236;272
300237;321
300238;496
300239;233
300240;298
300241;252
300242;250
300243;239
300244;411
300245;261
300246;680
300247;264
300248;294
300249;269
300250;355
300251;279
300252;271
300253;190
300254;275
300255;279
300256;289
300257;320
300258;372
300259;317
300260;234
300261;201
300262;202
300263;313
300264;235
300265;263
300266;223
300267;355
300268;270
300269;429
300270;275
300271;474
300272;224
300273;396
300274;245
300275;273
300276;370
300277;368
300278;378
300279;321
300280;311
300281;344
300282;264
300283;332
300284;310
300285;295
300286;369
300287;298
300288;245
300289;313
300290;327
300291;342
300292;260
300293;394
300294;392
300295;324
300296;350
300297;320
300298;226
300299;348
300300;373
300301;448
300302;475
300303;300
300304;314
300305;476
300306;482
300307;324
300308;225
300309;293
300310;396
300311;374
300312;368
300313;426
300314;253
300315;315
300316;303
300317;357
300318;239
300319;422
300320;403
300321;289
300322;323
300323;412
300324;343
300325;364
300326;174
300327;314
300328;307
300329;230
300330;201
300331;292
300332;458
300333;370
300334;554
300335;265
300336;665
300337;559
300338;294
300339;275
300340;365
300341;279
300342;263
300343;222
300344;480
300345;349
300346;206
300347;320
300348;200
300349;253
300350;327
300351;192
300352;372
300353;352
300354;237
300355;307
300356;270
300357;226
300358;349
300359;236
300360;380
300361;284
300362;272
300363;219
300364;228
300365;387
300366;441
300367;304
300368;252
300369;410
300370;422
300371;387
300372;406
300373;302
300374;263
300375;298
300376;381
300377;507
300378;263
300379;233
300380;215
300381;444
300382;539
300383;199
300384;197
300385;301
300386;303
300387;248
300388;266
300389;223
300390;257
300391;291
300392;326
300393;379
300394;377
300395;282
300396;265
300397;319
300398;396
300399;289
300400;327
300401;357
300402;298
300403;246
300404;287
300405;270
300406;769
300407;431
300408;387
300409;265
300410;281
300411;289
300412;382
300413;229
300414;214
300415;390
300416;351
300417;281
300418;257
300419;361
300420;278
300421;330
300422;350
300423;408
300424;273
300425;268
300426;284
300427;295
300428;505
300429;444
300430;426
300431;457
300432;207
300433;331
300434;290
300435;223
300436;348
300437;404
300438;412
300439;415
300440;222
300441;280
300442;194
300443;299
300444;303
300445;308
300446;365
300447;377
300448;205
300449;324
300450;276
300451;335
300452;376
300453;322
300454;368
300455;350
300456;208
300457;333
300458;293
300459;370
300460;286
300461;218
300462;205
300463;318
300464;255
300465;209
300466;384
300467;242
300468;305
300469;524
300470;240
300471;280
300472;328
300473;314
300474;291
300475;257
300476;353
300477;282
300478;212
300479;286
300480;305
300481;236
300482;360
300483;350
300484;219
300485;280
300486;207
300487;408
300488;400
300489;287
300490;203
300491;265
300492;323
300493;394
300494;205
300495;559
300496;329
300497;323
300498;250
300499;281
300500;212
300501;268
300502;316
300503;315
300504;225
300505;398
300506;267
300507;203
300508;306
300509;204
300510;311
300511;306
300512;272
300513;507
300514;289
300515;268
300516;261
300517;261
300518;275
300519;301
300520;266
300521;224
300522;224
300523;253
300524;242
300525;304
300526;375
300527;285
300528;272
300529;749
300530;533
300531;280
300532;631
300533;330
300534;273
300535;338
300536;298
300537;373
300538;253
300539;271
300540;255
300541;213
300542;366
300543;264
300544;514
300545;379
300546;423
300547;388
300548;334
300549;433
300550;257
300551;269
300552;274
300553;426
300554;403
300555;362
300556;494
300557;435
300558;500
300559;286
300560;491
300561;305
300562;520
300563;278
300564;447
300565;293
300566;380
300567;286
300568;510
300569;285
300570;352
300571;273
300572;466
300573;528
300574;268
300575;323
300576;428
300577;450
300578;464
300579;442
300580;387
300581;417
300582;429
300583;543
300584;273
300585;297
300586;266
300587;462
300588;248
300589;232
300590;229
300591;242
300592;294
300593;281
300594;516
300595;259
300596;251
300597;243
300598;358
